CO,C6H6,NMHC,Nox,NO2,O3,T,RH,AH
2.4,11.7,1041,150,119,994,16.9,34.3,0.6549
6.6,32.6,1610,340,170,1887,12.9,50.5,0.7478
3.5,14.3,1127,253,139,1491,11,59.1,0.774
5.4,21.8,1346,300,134,1657,9.7,64.6,0.7771
1.9,7.4,873,139,97,1144,9.1,63.9,0.7423
1.6,5.4,782,83,82,1043,8.8,63.9,0.7256
1,2.6,625,62,65,819,8.3,63.6,0.6982
1.5,5.1,770,139,77,940,6.3,71.9,0.6932
2.7,11.8,1043,256,96,1192,6.5,71.6,0.6945
3.7,15.1,1153,295,119,1411,9.6,59.7,0.7124
3.2,12.9,1081,250,126,1465,12.4,51.2,0.7335
4.1,16.1,1184,296,158,1583,15.6,42.2,0.7451
3.6,14,1117,239,161,1387,18.4,33.8,0.709
2.8,12.3,1059,153,124,1101,19.4,31.3,0.695
2,8.6,924,118,102,850,18,34.8,0.7127
2,9.2,947,119,116,947,18.4,33.6,0.7042
2.5,10.2,987,138,124,1078,17.6,35.1,0.7012
2.3,10.6,1000,148,125,1084,16.7,37.8,0.7117
3.2,15.5,1163,227,148,1395,16.1,41,0.7451
4.2,19.6,1286,277,165,1612,15.8,42.4,0.7569
4.2,19.2,1274,279,161,1697,15.7,44.1,0.7786
3.1,13.1,1089,214,143,1624,14.6,48.6,0.806
2.8,11.9,1045,174,119,1530,14.6,51.5,0.8536
2.5,8.6,925,128,104,1337,12.5,58.9,0.8537
1.2,3.7,691,53,70,929,11.5,63.1,0.8533
1,2.5,618,44,63,872,11.6,62.2,0.8473
0.9,2.4,615,74,67,853,10.4,67.6,0.853
1.4,4.2,722,101,84,959,11.6,62.7,0.853
1.6,6.4,828,118,83,1093,12.4,60,0.8627
2.8,10.9,1009,176,114,1355,16.9,46.1,0.8789
2.8,10.7,1002,161,119,1262,19.3,38.3,0.8474
2,7.5,880,113,104,980,21.2,31.4,0.7812
1.8,7.5,879,103,102,872,21.4,30.2,0.7616
1.9,8.2,906,112,107,900,21.9,29,0.7525
3,11.9,1045,170,129,1099,22.2,28.4,0.7516
2.5,12.2,1055,160,121,1262,19.7,36.7,0.8307
4.6,20.6,1312,261,157,1698,18.4,41.7,0.8732
5.9,23.1,1381,325,173,1905,17.6,46.1,0.921
3.4,14.7,1140,217,146,1648,16.7,49.6,0.932
2.1,9,940,146,121,1423,16.3,51,0.9341
2.2,8.8,933,152,119,1349,14.7,55.9,0.9314
1.8,7.4,872,104,99,1250,14.8,54.7,0.9164
1.8,7,855,108,88,1149,13.4,61.3,0.9361
1.4,6.4,830,138,80,1083,11.4,70.5,0.9475
2.2,9.7,966,228,89,1235,11.3,70.2,0.9401
5.5,25.9,1451,360,114,1680,12.4,63.9,0.917
8.1,36.7,1701,478,149,2184,14.8,54.3,0.9076
5.8,26.6,1470,394,157,1973,17.4,45.6,0.8993
4.2,20.1,1300,319,155,1798,19.8,38.5,0.8801
2.9,14.9,1146,171,119,1404,23.3,32.2,0.9096
2.9,15.4,1162,159,111,1263,23.9,30,0.8757
2.5,12.1,1053,153,104,1137,24.4,28.9,0.8736
2.3,11.5,1033,143,99,1068,24.4,29.4,0.8848
2.8,14.8,1141,156,110,1252,23.8,31.3,0.9137
6.1,32.1,1601,314,162,1843,22.5,35.4,0.9547
6.5,31,1573,320,165,1992,18.3,52.6,1.0945
4.2,19.9,1294,256,145,1707,16.7,57.4,1.0786
3.2,15.3,1159,193,125,1494,15.7,60.2,1.0654
1.4,6.9,852,89,101,1164,15.3,61.4,1.058
2.1,11.1,1019,127,103,1272,14.1,65.7,1.0494
1.2,5.4,784,79,88,1040,14.8,60.6,1.0148
0.8,2.8,640,43,61,867,14.8,59.2,0.9879
0.6,2,585,38,52,793,12.8,63.2,0.9283
0.9,3.5,681,82,64,870,11.2,68.5,0.9081
1.3,5.1,770,99,70,930,11,66.5,0.8705
3.7,19.7,1287,229,95,1507,13.6,56.3,0.8743
5.3,25.1,1431,396,150,1843,17.8,42.9,0.8672
4,22.3,1359,252,161,1671,25.3,26.1,0.8264
3.8,20.4,1309,263,161,1491,25.8,23.2,0.7589
2.8,14.6,1136,180,128,1240,27,20.2,0.7094
2.9,16.6,1197,184,129,1313,28.2,18.6,0.7014
3.2,15.8,1173,166,143,1432,20.4,36.7,0.8704
5.1,24.9,1426,317,177,2034,19,41.3,0.9007
2.6,13.5,1101,184,138,1602,17.9,45.9,0.9342
1.7,9.1,943,130,117,1362,16.7,48.9,0.9226
1.7,8.6,925,132,107,1314,15.5,52.9,0.9271
0.9,4.1,714,70,79,992,14.1,55.6,0.891
0.5,1.9,576,46,53,733,11.9,57.4,0.7978
4.1,21.4,1334,320,108,1534,11.1,60.2,0.7958
4.3,21.3,1331,280,134,1734,17.7,40.1,0.8048
2.9,15.4,1161,221,135,1595,21.1,33.4,0.8265
2.5,12.5,1067,210,142,1490,24.3,28.3,0.8471
2.6,13.7,1108,161,123,1334,25.9,25.9,0.8503
2,10.4,994,135,104,1045,26.8,18.7,0.65
2.9,15.2,1154,186,129,1221,29.3,15.8,0.6309
2.5,12.3,1060,147,114,1069,28.5,14.9,0.5708
5,27,1478,299,158,1569,25.9,16,0.5237
7.6,38.4,1737,411,194,2306,23.1,26.5,0.7403
6.7,35.1,1667,347,182,2359,20.5,38.2,0.9133
5.7,27.2,1485,336,180,2050,19.1,42.6,0.9294
2.8,15,1150,202,136,1727,17.2,44.1,0.8558
2.3,13,1083,154,116,1551,14.8,53.9,0.9024
1.4,8.1,904,92,107,1240,14.3,55.4,0.8975
1,5.5,787,61,88,1115,14.8,52.1,0.8686
0.6,2.5,623,37,57,828,12,58.9,0.8233
0.7,3,650,68,71,893,10.9,62.1,0.8113
1.5,7.7,885,139,85,1075,10.6,63.3,0.8067
6.6,35.8,1682,421,151,2051,14.3,50.6,0.8186
4.5,21.3,1333,349,150,1819,17.8,40.5,0.821
2.8,14.3,1127,224,152,1568,20.8,34.4,0.8365
2.2,12.5,1068,171,139,1374,23.8,28.2,0.8219
2.2,12.2,1056,149,133,1268,24.2,28.7,0.8515
2.3,13.1,1087,137,126,1144,25.2,24.9,0.7829
2.2,14.4,1129,149,128,1109,27,17.8,0.6275
2.8,16.8,1205,172,169,1347,27.1,23.1,0.818
3.7,21.5,1338,214,156,1397,23,26.8,0.7446
5.1,26.4,1464,280,168,1588,20.7,31.1,0.7523
5.1,26,1453,276,176,1569,18.6,36.2,0.7676
3.2,14.1,1121,178,135,1322,16,48.4,0.8768
2.1,10.3,989,129,121,1194,14.5,57.8,0.9456
1.7,8.3,911,95,99,1062,13.1,64.2,0.9606
2,8.9,936,126,106,1040,12,69.7,0.9735
1.6,6.6,840,103,96,917,11.9,71.1,0.9915
0.5,1.3,525,18,28,370,12.5,66.8,0.962
0.7,2.3,607,56,61,438,12.3,66.3,0.9487
1.5,6.7,845,115,99,704,12.4,64.9,0.9332
4.8,22.8,1372,320,157,1476,13,61.6,0.9209
6.2,31.3,1582,357,166,1716,13.6,58.8,0.912
4,19.2,1275,253,149,1398,13.9,57.1,0.9032
3.3,16.4,1191,218,135,1268,14.5,54.4,0.8917
2.8,14,1117,192,127,1188,15.5,50.1,0.8744
3,15.3,1157,176,122,1171,16.1,47.6,0.8655
3.5,19,1268,212,139,1344,16.4,47.5,0.8791
4.1,20.2,1301,231,146,1372,15.8,50.3,0.8989
4.5,21.7,1344,251,144,1471,15.5,50.6,0.884
3.9,19.8,1292,210,138,1439,15.4,51.4,0.8956
4,16.7,1202,249,143,1429,15.2,53.1,0.9117
2.2,9.1,945,143,116,1081,14.7,57.6,0.9573
2.1,8.3,912,127,109,993,14.2,58.3,0.938
1.7,5.8,802,104,92,837,13.8,57.9,0.9085
1.6,5.2,773,86,83,761,13.9,55.9,0.8842
1.3,4.1,718,74,81,650,13.9,55.6,0.8765
0.8,3.1,661,42,53,518,13.6,55.1,0.856
1.1,4.3,728,115,91,842,13.5,58.4,0.896
2.1,8.9,935,170,113,1145,13.8,58,0.9083
2.4,10.5,998,147,102,1218,14.6,53.1,0.8765
2.8,12.3,1061,195,113,1406,15.4,52.1,0.9046
2.6,11.7,1039,182,108,1422,16.3,50,0.9158
2.1,9.3,953,125,93,1153,19,42.9,0.937
1.6,6.7,844,79,76,766,19.5,42.3,0.9493
2.1,9.7,967,119,94,941,19.1,43.8,0.9556
2.3,12.4,1063,142,110,1146,18.5,46.3,0.9744
3.5,16.6,1199,215,136,1417,17.4,51.6,1.0159
3.9,16.4,1191,229,139,1442,17.1,51.3,0.9914
3.3,13.7,1108,206,125,1323,16.4,53.8,0.9964
2.3,9.9,973,147,111,1125,16.2,55.4,1.0132
2.1,8.9,937,122,97,1036,15.9,57.7,1.0356
2.8,10.6,999,175,107,1202,15.7,58.6,1.0396
1.6,6.2,823,89,84,903,15.6,56.6,0.9951
0.7,2.1,594,24,36,580,14.5,63,1.0316
0.8,3.6,687,72,62,815,14.2,66.2,1.063
1.2,4.4,734,122,91,1035,14.5,65.3,1.0704
1.4,5.4,782,111,89,1067,15.3,62.1,1.073
1.7,7.1,862,123,93,1114,16.3,59,1.0868
1.3,4.6,742,48,48,610,21.4,40.3,1.0126
1.6,8.4,916,63,61,657,21.2,39.3,0.9791
1.9,6.9,853,98,89,647,20.3,38,0.8942
2.3,9,938,132,105,762,19.4,41.3,0.9206
3.8,15.1,1151,173,116,1122,18.5,43.8,0.9252
3.5,12.6,1071,185,119,1130,17.8,48.1,0.9689
1.9,7.9,896,112,93,1066,16.4,55.1,1.0198
1.5,5.1,767,74,76,818,15.8,60.5,1.0805
0.6,1.7,563,23,33,472,16.3,57,1.0491
0.3,0.7,472,15,23,378,16.5,53.9,1.0049
0.6,2,586,41,46,432,16.4,54,0.9979
1.2,5.1,768,86,76,699,15.7,57.6,1.0195
3.6,17.7,1230,226,116,1252,15.8,53.7,0.9571
3.7,18.4,1252,214,115,1237,17.4,42.1,0.8281
1.6,7.3,868,124,87,766,18.5,36.7,0.7764
1.9,9.6,964,122,90,829,21,29.6,0.7263
2.2,11.2,1021,133,99,822,21.3,26.1,0.6539
2.3,11.6,1034,150,101,813,21.3,24.2,0.606
2.6,12.4,1062,138,103,850,20.2,28.5,0.6682
3.8,18.3,1249,213,129,1276,17,43.1,0.8264
4.4,21,1325,232,143,1401,15.6,47.4,0.8347
4.5,21,1325,238,146,1356,15.3,47.4,0.8178
3.3,14.5,1131,180,124,1243,14.5,49.7,0.8177
2,8.4,916,128,113,1083,13.9,52,0.8231
1.1,4.3,729,65,80,795,14.5,49.4,0.8106
0.9,3.8,700,53,72,735,13.8,51.4,0.8071
0.8,2.7,636,47,64,684,14,51.3,0.8163
0.7,2.5,621,51,70,714,13,56.8,0.8444
0.3,0.6,459,13,22,361,8.8,80.5,0.9147
0.5,1.8,567,33,47,418,9.6,75.4,0.9004
3,14.2,1124,224,130,1089,10,74.2,0.9117
3.4,16.2,1185,237,132,1311,12,62.9,0.8803
3,15.5,1166,220,131,1236,12.8,55.8,0.821
3.5,16.9,1207,208,132,1301,13.8,53.4,0.8351
2.8,12.4,1064,160,110,1097,16,42.4,0.7674
2,8.7,927,128,100,781,12,61.1,0.8537
3,13.8,1111,176,122,1013,13.6,54.6,0.8465
1.9,9.3,953,107,97,790,13.7,49.5,0.7695
2.7,13,1084,131,112,1059,11.7,57.1,0.7822
3.3,14.3,1126,166,128,1205,11.5,58.2,0.7867
1.7,7.6,884,89,101,975,12.6,54.2,0.7881
1.3,5.3,776,81,96,896,12,54.9,0.7664
1.2,4.9,756,70,85,902,11.1,62.2,0.8199
0.9,2.7,634,43,61,715,11.3,60,0.8025
0.6,1.2,522,34,54,648,10.9,58.6,0.7628
0.8,1.7,561,43,57,612,10.8,57.2,0.7382
1.2,4.8,751,79,75,800,10.4,59.2,0.7455
3.1,13.8,1109,174,97,1173,11,57.3,0.7501
4.4,23.7,1395,235,110,1519,11.2,56.9,0.7565
1.7,8,898,136,88,966,15.1,44.3,0.7535
1.5,6.7,842,117,85,828,15.6,40.6,0.7146
1.7,8.7,927,119,96,825,16.9,34.6,0.6597
2.2,10.8,1009,126,106,872,16.6,35.6,0.6697
2.7,11.4,1028,197,126,1002,9.6,81.1,0.972
2.8,13.4,1096,195,130,1159,11.7,69.1,0.9497
2.7,12,1050,156,111,979,10.7,68.5,0.8794
4.5,20.2,1302,247,134,1311,10.7,67.3,0.8643
2.6,9.4,955,169,125,899,10.3,66.3,0.8336
1.7,5.9,809,118,108,766,10.1,66.9,0.8248
1,2.5,621,42,58,479,11,58.4,0.7686
0.7,1.8,568,38,54,479,9.1,68.1,0.789
0.5,0.9,490,18,28,378,9.3,72.3,0.8496
0.5,0.6,457,12,20,344,9.9,66.8,0.8152
0.6,1.4,540,43,51,413,7.6,83.2,0.8695
1.1,3.8,697,84,82,605,8.1,79,0.8544
3.5,17.8,1235,202,119,1175,8.6,75.1,0.8415
2.3,8.8,933,133,99,923,9.7,69.7,0.8389
1.3,5.9,809,106,88,733,13.6,53,0.8209
2,8.9,935,132,96,819,14.2,48.4,0.778
1.9,8.2,907,106,81,723,14.2,46.3,0.7438
1.9,8.6,924,125,92,786,16,41.3,0.7462
2.2,10.1,982,138,105,850,17.7,35.4,0.7094
2,9.4,957,120,88,820,17.1,37.4,0.7225
2.9,14.6,1137,158,103,991,14.9,40.5,0.6835
5.2,24.6,1418,253,141,1454,13.4,47.8,0.7293
4.6,21.6,1341,231,133,1488,12.6,52.5,0.7642
2.5,10.3,989,150,119,1205,12.2,53.2,0.7555
1.2,4.5,736,75,92,769,9.9,59.5,0.7276
1.7,5.5,787,93,97,835,9.6,61.1,0.7323
1.4,4.8,753,79,91,793,9.7,61.6,0.7425
1.2,3.6,690,67,83,733,9.4,62.6,0.7398
0.8,3,654,72,73,832,7.7,72.4,0.7655
0.9,4,713,103,78,924,8,71.8,0.7711
1.6,6.7,842,132,90,974,8.5,66.3,0.7375
3.4,16.7,1201,239,110,1307,9.8,59.6,0.7214
3.1,14.8,1142,232,119,1405,14.8,44.1,0.7407
2.7,13.4,1098,180,121,1195,16.8,35.3,0.6729
2,11,1014,112,97,868,19.2,27.1,0.5976
2.3,12.5,1068,116,99,874,19.1,26.2,0.5741
1.9,8.4,916,103,85,738,16.3,30.8,0.5683
1.9,8.8,933,112,87,777,13.4,41,0.6292
2.3,11.2,1023,127,102,966,14.2,43.3,0.6982
2.4,11.6,1037,125,105,990,12.1,45.6,0.6403
2.7,12.4,1063,120,98,944,10.4,48,0.6046
2.6,10.6,1000,120,93,962,10,51.1,0.628
1.5,6,811,99,91,778,9.8,50.8,0.6172
1.2,4.6,743,79,85,690,9.7,50.4,0.6063
1.5,5.2,776,94,87,753,9.4,53.4,0.63
1,3.2,664,70,79,646,8.6,57.8,0.6488
1.2,4.5,736,75,78,838,8.1,62.1,0.6746
0.8,1.9,578,32,48,665,8.2,58.9,0.6444
1.1,3.3,669,68,65,795,7.2,62.9,0.6396
1.5,6.7,842,98,71,936,7.2,63.9,0.65
1.8,8.5,919,128,84,1076,11.1,50.5,0.6654
2.1,9.7,966,129,93,1016,15.5,36.1,0.6313
2.1,9.4,955,130,99,834,17.8,29.2,0.592
1.9,9,940,111,93,756,17.6,30.1,0.6013
2.1,10,979,106,96,766,19.1,26.8,0.5861
2.5,12.6,1072,137,114,905,17.7,28.6,0.5735
1.9,7.6,883,113,101,765,17.8,28.4,0.5737
2.2,11.8,1042,122,108,830,18.7,26,0.5555
2.3,11.2,1022,137,117,853,17.1,31.3,0.6038
3,12.9,1079,196,133,1286,14.7,40.1,0.6657
2.2,8.8,930,140,107,1056,12.5,48.1,0.6946
1.6,6.8,848,102,96,1003,11.8,50.8,0.7042
2.1,8.6,924,130,105,1245,10.9,56.1,0.7326
2.3,8.9,937,121,102,1200,10.9,55.9,0.7277
2.3,8.3,912,111,97,1188,10.3,58.1,0.7278
1.7,6.3,827,87,79,1070,9.3,62.2,0.7294
0.8,2.6,626,39,52,755,9.6,58.5,0.7
1.4,3.6,691,91,69,836,7.4,68,0.7043
1.9,7.5,880,133,83,1073,12.5,50.1,0.7242
2.3,9,938,128,94,1088,16.8,36.9,0.7018
2.3,9.5,958,126,96,1036,19.2,31.3,0.6887
1.8,7.7,887,92,86,768,21.3,26.4,0.6607
1.4,5.7,796,66,72,587,21.2,23.1,0.5768
1.4,4.8,754,70,65,470,18,27.3,0.5594
1.3,4.3,727,73,70,502,18.2,28.3,0.5848
1.3,4.1,714,77,75,516,17,31.4,0.6048
1.9,6.2,823,93,94,671,14.1,40.2,0.6438
1.8,5.5,789,105,103,788,13.4,43.2,0.6623
1.1,3.2,666,63,80,544,11.9,46.5,0.6449
0.9,2.2,598,46,58,417,10.6,48,0.6135
0.6,1.3,524,21,31,341,10.7,45.8,0.5895
0.5,1.1,509,22,38,352,10.4,46.6,0.5901
0.7,1.7,559,55,70,648,10.1,51.2,0.6341
0.9,2.9,643,76,75,760,9.9,50.7,0.6167
2.9,14.3,1125,181,103,1183,8.1,56.8,0.615
4.1,19.7,1289,259,134,1431,10.9,44.1,0.5748
1.5,5.5,786,118,98,705,11.8,37.6,0.5184
1.5,5.8,803,123,98,658,15.6,30.1,0.5285
1.4,5.5,786,92,78,546,16.5,29,0.5406
1.5,5.5,790,103,92,532,17.9,26.8,0.5446
1.4,5.2,776,102,81,535,18.2,26.1,0.5387
1.5,5.8,801,94,90,525,18,27.1,0.5522
1.9,7.9,896,98,95,603,17,28.9,0.5558
2.1,8.2,907,108,106,796,14.5,35.4,0.5839
1.6,5.7,797,95,99,689,13.2,37.9,0.5733
1.2,3.8,700,78,90,553,13.1,34.4,0.517
1.1,4,710,61,82,509,13.5,28.5,0.4405
1,2.8,643,55,74,455,12.4,31.9,0.4583
1,2.6,630,57,76,425,13.1,26.8,0.4023
0.7,1.7,563,46,73,618,10.5,42.9,0.5442
0.7,2.3,605,52,71,691,12.9,33.9,0.5037
1.1,5.3,779,111,98,1013,11.3,40.3,0.5376
4,23.8,1399,244,130,1675,13.3,35.6,0.5416
4.2,21.5,1337,283,150,1689,16.3,28.8,0.5305
3.7,18.9,1267,219,138,1490,20.8,22.5,0.5463
3.4,17.1,1213,200,128,1354,22.4,20,0.5352
2.2,10.4,992,138,97,1014,20.9,21.7,0.5295
1.9,8,897,118,91,831,19.1,26.5,0.579
1.6,6.2,820,99,81,699,18.1,30.6,0.6295
2.1,9.7,968,112,99,926,17.3,34.7,0.6788
2.2,9.6,962,117,101,928,15.8,40.4,0.7228
2.7,11.9,1047,129,106,1038,15.9,42,0.7541
2.4,8.7,928,132,102,1035,15.9,43.5,0.779
1.2,3.8,701,68,81,692,15.1,44.6,0.7574
1.5,4.7,747,80,91,764,14.9,43.5,0.7302
0.9,2.8,639,47,70,678,14.8,40.8,0.6834
0.6,1.5,545,44,58,436,14.6,36,0.5947
1,3.5,684,85,93,688,14.4,38.5,0.6291
4.1,19.9,1295,230,115,1489,13.2,61.1,0.9256
2.2,8.6,924,181,125,1093,10.4,74.4,0.9384
1.7,6.5,837,144,118,965,11.5,71,0.9582
1.9,7.7,886,140,109,1004,12.2,70,0.9924
2.9,11.3,1025,204,123,1166,12.3,73.3,1.0442
2.2,9.1,944,149,114,991,11.3,78.1,1.0411
2.6,11.2,1023,171,114,1054,13.6,69.2,1.0746
2.3,10.1,980,152,111,1055,15.7,50.9,0.8997
2.8,11.8,1041,121,103,1073,15.5,50.8,0.8881
2.3,9.3,953,131,105,1019,13.2,56,0.8446
1.5,5.5,787,81,91,833,12.6,57,0.8315
1.4,5.1,769,60,79,759,12.3,57.8,0.8224
1.2,4.8,754,57,79,749,12,58.4,0.8164
1.6,6.3,825,96,86,978,12,61.6,0.8593
1.2,5.1,770,85,70,944,11.5,63.9,0.8652
1.1,4.1,716,50,55,891,10.7,67.2,0.863
0.7,2.4,615,57,49,790,10.2,66.6,0.8299
0.9,2.9,648,64,50,852,11,63.7,0.8325
1.7,7.4,876,153,67,987,9.6,68.8,0.8243
4.2,19.8,1291,342,94,1435,9.5,69.6,0.8273
4.6,21,1323,304,139,1677,16.2,48.6,0.8892
2.8,11.7,1040,192,113,1282,19.2,39.6,0.8693
1.6,6.8,850,130,88,871,19.7,38.4,0.8743
1.7,7.4,875,106,73,759,20.6,36.7,0.8797
1.7,8.6,924,102,73,790,21.8,33.9,0.8771
3.3,16.4,1193,163,106,1187,23.6,27.5,0.7913
4.2,21.2,1331,211,132,1399,22.8,32.1,0.8814
5.5,25,1429,267,164,1644,20.8,36.7,0.8878
4.9,20.2,1302,269,161,1599,18.3,40.9,0.8493
2.5,10.8,1007,154,124,1223,16.8,44,0.8341
2,9.9,976,127,113,1200,15.8,48,0.8569
2,8.5,920,122,103,1118,14.9,52,0.8757
2,8,899,126,104,1067,14.1,54.4,0.8701
1.3,5.6,795,84,93,1048,13.3,58.8,0.8922
1,3.2,667,58,60,718,13.3,60.9,0.9229
0.7,2.6,628,56,66,737,11.3,72.9,0.9738
1.1,4.3,727,91,82,903,11.4,71.8,0.9671
2.6,13,1083,159,109,1159,11.9,73.7,1.0254
3.9,20.3,1306,190,114,1365,12.6,70.2,1.0221
5,20.7,1316,249,139,1510,13.6,65.3,1.0136
3.3,15.9,1177,196,127,1386,16.9,52.3,1.0013
2.9,14.2,1123,180,127,1368,19.4,44.1,0.9855
3.1,15.9,1176,167,135,1347,22.9,33.8,0.9322
3,16.1,1183,159,130,1242,23.6,31.3,0.9001
2.7,14.7,1139,152,126,1138,24.7,30.5,0.9371
2.7,14,1116,149,121,1080,26.1,27.3,0.9101
2.6,13.6,1103,143,122,1002,27.6,22.8,0.8288
3.7,19.7,1288,185,138,1212,26.9,22.3,0.7792
4.7,24.1,1407,215,154,1567,21.2,40.1,0.9978
5.5,25.4,1439,271,168,1723,19.4,42.5,0.9483
3,14.1,1121,180,146,1399,18.5,43,0.9074
1.9,10.1,982,115,124,1291,17.8,47,0.9467
2.3,12.1,1052,149,124,1443,16.8,53.2,1.01
1.6,9,941,98,106,1270,17.1,51.8,0.999
1.3,6.3,827,73,88,1110,16.2,54.2,0.9933
1.2,5.3,777,69,83,1060,15.1,58.2,0.9886
0.8,3,651,60,74,891,14.5,58,0.9488
0.8,3.3,673,56,64,905,13.7,61.6,0.9631
0.9,3.5,683,73,69,899,13.9,59.6,0.9408
2,9.5,959,159,91,1136,13.3,61.7,0.9399
3,15.2,1154,203,96,1391,15.1,55.8,0.9486
3.1,14.3,1126,211,106,1460,17,50.5,0.9684
3.1,14.3,1127,236,124,1451,15.6,57.4,1.0075
3,13.7,1107,228,121,1409,16.6,55.2,1.0382
3.1,15.4,1162,188,114,1457,18,51.5,1.0552
2.5,12.6,1069,158,106,1325,19.5,47.5,1.0653
2.1,9.8,971,124,89,1120,21.6,41.7,1.0606
3.2,16.3,1190,160,111,1212,20.3,42.8,1.0053
4.1,19.8,1290,194,132,1353,19.7,45.4,1.0312
3.1,13.6,1102,157,116,1273,17.9,49.4,1.0064
2,8.7,928,109,100,1079,17.5,50.9,1.009
1.7,7.7,885,85,89,973,17.4,51.8,1.023
1,4.1,718,61,71,714,16.6,55.4,1.0408
0.8,2.7,635,36,51,579,15.9,57,1.0224
0.5,1.5,547,25,39,542,15,59.2,1.0059
0.5,1.8,569,24,35,526,14.1,61.6,0.9883
0.8,3.4,677,73,64,659,14.6,58.8,0.9711
1.7,8.5,920,164,94,1012,14.4,58.9,0.9594
4.5,24.1,1407,329,134,1564,15.3,55.2,0.9538
6.2,33.7,1636,302,129,1806,16.2,52.5,0.9576
2.9,14.1,1119,182,107,1288,19.6,41.8,0.9407
1.6,7.6,884,105,78,931,20.2,40.1,0.937
2.9,13.6,1103,167,116,1064,20.4,34.7,0.8229
2.5,11.5,1032,166,131,913,19.3,35.4,0.7813
1.9,9.2,947,115,113,684,18.6,36.9,0.7829
1.9,10.3,988,109,98,710,18.8,36.8,0.7883
2.7,14,1116,143,116,923,17.5,40.6,0.8068
3,15,1148,159,120,1006,16.8,44.3,0.8428
1.8,8.5,918,91,90,800,15.7,49.4,0.8768
1.3,5.9,808,76,81,647,15.8,48.6,0.8653
0.9,4,710,56,67,575,15.7,45.9,0.8121
0.7,2.3,603,35,46,455,15.6,44.9,0.792
0.4,1.4,538,21,30,392,15.6,44.4,0.7827
0.3,0.7,468,12,19,320,15.7,45.4,0.8063
0.3,0.8,478,22,32,331,15.3,50.1,0.8617
0.8,3.6,688,55,61,426,14.2,58.6,0.9443
2.8,12.9,1082,152,111,830,14.3,58.2,0.9431
3.1,15.7,1171,153,102,1006,15,52,0.8817
2.3,8.6,925,152,116,820,13.6,61.4,0.9519
1.6,7.4,876,112,96,737,16.1,53.1,0.9675
1.5,6.6,839,119,97,790,16.6,44.3,0.8294
1.8,9.1,943,115,103,767,18.1,42.2,0.8679
1.9,7.5,880,146,104,776,10.9,76.4,0.9953
1.2,5.9,808,65,69,589,16.4,47.7,0.8819
3.3,13.5,1101,185,121,996,14.7,48.7,0.8089
3.1,14.5,1133,157,129,1033,11.3,71.3,0.9514
3.3,11,1013,174,116,982,10,74,0.9087
1.2,3.2,666,62,71,518,9.8,71.8,0.8702
1.3,4.3,727,81,85,631,9.3,75.2,0.8796
1.9,7.1,861,118,101,879,9.6,76,0.9088
1.4,4.8,752,95,97,839,9.3,75,0.8799
1.5,5.7,798,84,89,876,9,76.7,0.8825
1.1,4.1,716,56,72,827,8.2,79.6,0.8672
0.8,2.8,642,69,62,723,8.1,72.1,0.7798
1.1,4.8,754,74,64,797,8.1,70.4,0.7609
2.6,13.8,1109,161,80,1138,8.1,70.5,0.7627
